name,audio_id,cc
Common Yellowthroat,573808001,Stephen Chase
Yellow Warbler,573807521,Stephen Chase
American Goldfinch,570897611,Mark Oberle
American Crow,538736901,Joey McCracken
Canyon Wren,528577361,Andrew Thomas 🦅🪶
Canyon Wren,528574491,Andrew Thomas 🦅🪶
Golden-crowned Kinglet,527039001,Mark Oberle
Black-backed Woodpecker,525813241,Dave Slager
Common Yellowthroat,465419621,Andrew Thomas 🦅🪶
Mountain Quail,410052911,Jacob Miller
Canada Goose,360854401,Andrew Thomas 🦅🪶
California Quail,360020601,Andrew Thomas 🦅🪶
Gray Catbird,360014731,Andrew Thomas 🦅🪶
