name,audio_id,cc
Magnificent Riflebird,164337,Benjamin Clock
Magnificent Riflebird,164328,Benjamin Clock
Lewin's Honeyeater,14955,"Fred W. Loetscher, Jr."
Australian Raven,13167,"Fred W. Loetscher, Jr."
Green Rosella,8533,"Fred W. Loetscher, Jr."
Superb Lyrebird,8003,Newton Hobbs
Australian Hobby,218662831,David Secomb
Crested Pigeon,107755921,Sara Young
Little Black Cormorant,214381141,Sara Young
Pacific Black Duck,262623991,David Secomb
White-capped Albatross,203907761,Josep del Hoyo
Western Bowerbird,496327951,Chris Benesh
Brown Songlark,434955201,Charlie Andrews
Red-rumped Parrot,423257091,Ramit Singal
Brown Songlark,352329731,Ramit Singal
Pied Stilt,350069351,Dennis Devers
Spotted Bowerbird,300286071,Zebedee Muller
Latham's Snipe,263572491,Ramit Singal
Welcome Swallow,261903431,Ramit Singal
Striated Grasswren,204002751,Niels Poul Dreyer
Barking Owl,105170931,Chris A
Red-tailed Black-Cockatoo,31676491,Andrew Spencer
White-plumed Honeyeater,31672921,Andrew Spencer
Nankeen Kestrel,354137371,Liam Manderson
Black Swan,105571691,Ramit Singal
Striated Thornbill,310137211,Edward Smith
Little Grassbird,273100551,Ramit Singal
Red-browed Firetail,61232811,Greg McLachlan
Lewin's Honeyeater,233506,Tony Baylis
Yellow-rumped Thornbill,223253,Vicki Powys
Red-browed Firetail,164314,Benjamin Clock
Olive-backed Oriole,128361,Linda Macaulay
Musk Lorikeet,279198101,Ramit Singal
Shining Bronze-Cuckoo,265311091,Ramit Singal
Cockatiel,77045411,Sara Young
White-faced Heron,252972021,Sara Young
Powerful Owl,169198551,Greg McLachlan
Spotted Pardalote,36622821,Mat Gilfedder
Plumed Whistling-Duck,233582,Tony Baylis
Ground Cuckooshrike,177419111,Eliot Miller
White-faced Heron,55794591,Greg McLachlan
Black-fronted Dotterel,273100491,Ramit Singal
Hooded Robin,520685291,David Secomb
Plains-wanderer,496959781,Julian Teh
Rainbow Bee-eater,475060411,Alfred & Hidi Lau
Australasian Grebe,350284311,Greg McLachlan
Lewin's Rail,272801001,Ramit Singal
Pacific Emerald Dove,203995331,Nicholas Talbot
Yellow-tailed Black-Cockatoo,203990791,Nicholas Talbot
Jacky-winter,203973561,Nicholas Talbot
Masked Woodswallow,203887531,Pieter de Groot Boersma
Western Fieldwren,203886771,Pieter de Groot Boersma
Common Bronzewing,173980391,Lance Rathbone
Pied Currawong,130963961,Fred Booker Malcolm
White-winged Chough,233681,Tony Baylis
Rainbow Lorikeet,233589,Tony Baylis
Buff-rumped Thornbill,223282,Vicki Powys
White-browed Robin,201289,Emma Greig
Gray Falcon,62825071,James (Jim) Holmes
Fairy Prion,280193281,Heidi Krajewsky
European Starling,242491851,Ramit Singal
Dusky Woodswallow,178030131,Tayler Brooks
Galah,31675721,Andrew Spencer
Little Friarbird,277938351,Sara Young
Swamp Harrier,78111921,Greg McLachlan
Dusky Grasswren,203888311,Pieter de Groot Boersma
Long-tailed Finch,62824011,James (Jim) Holmes
Red-browed Pardalote,28044951,Mat Gilfedder
Restless Flycatcher,226243,Vicki Powys
Welcome Swallow,233650,Tony Baylis
Welcome Swallow,233649,Tony Baylis
Scarlet-chested Parrot,576669201,Zebedee Muller
Australian Owlet-nightjar,233786,Vicki Powys
Crimson Rosella,226228,Vicki Powys
Brown Honeyeater,233504,Tony Baylis
Painted Honeyeater,37957191,Michael Dahlem
Sooty Shearwater,992,F. N. Robinson
Albert's Lyrebird,59583491,Callan Alexander
Red-kneed Dotterel,116984821,Sara Young
Black-shouldered Kite,335258821,Ken Tay
Wedge-tailed Eagle,328611751,Lance Rathbone
Australasian Gannet,505442251,Ken Tay
Tree Martin,86392991,Sara Young
Brown Songlark,27030301,Andrew Spencer
Gray Teal,200001811,Sara Young
Little Black Cormorant,430127971,James Lambert
Whistling Kite,62822831,James (Jim) Holmes
Red-necked Avocet,62652191,Greg McLachlan
Fairy Martin,226152,Vicki Powys
Peregrine Falcon,55159971,Greg McLachlan
Brown Falcon,226150,Vicki Powys
Pheasant Coucal,233567,Tony Baylis
Little Friarbird,233511,Tony Baylis
Laughing Kookaburra,232853,Vicki Powys
Musk Duck,68472341,Peter Lowe
Chestnut-rumped Heathwren,614369601,Jack Armstrong
Spotted Catbird,533825981,Zebedee Muller
Rufous Fieldwren,466426761,James (Jim) Holmes
Rufous Fieldwren,466426681,James (Jim) Holmes
Short-tailed Grasswren,465660841,James (Jim) Holmes
Collared Sparrowhawk,400970091,Alex Rossi
Blue-breasted Quail,385061761,Chris Rehberg  | Sydney Birding
Rockwarbler,381591071,Greg McLachlan
Osprey,358875611,James Lambert
Dusky Moorhen,349772931,Greg McLachlan
Horsfield's Bronze-Cuckoo,286738721,Anonymous
Swift Parrot,266652291,Ramit Singal
Eastern Rosella,265597071,Ken Tay
Masked Lapwing,258861281,Lance Rathbone
Little Raven,243452541,Maarten Grabandt
Green Catbird,241521441,Kent Warner
Pale-vented Bush-hen,222810611,Ged Tranter
Long-billed Corella,193812201,Julia Plummer
Singing Bushlark,189256991,Liam Manderson
Ground Cuckooshrike,183952701,Alec Hopping
Yellow-rumped Thornbill,178020371,Tayler Brooks
Bourke's Parrot,177712591,Tayler Brooks
Splendid Fairywren,176367731,Eliot Miller
Chiming Wedgebill,175595061,Marie Chappell
Crimson Rosella,122358671,Ramit Singal
Sacred Kingfisher,116672421,Tom Tarrant
Inland Thornbill,101905991,Andrew Spencer
New Holland Honeyeater,100915701,Heath Milne
Beach Stone-curlew,100661331,Andrew Spencer
Hooded Robin,99563331,Andrew Spencer
Eastern Rosella,99559551,Andrew Spencer
White-browed Woodswallow,78537611,Ian Davies
Gray Currawong,73082631,Ramit Singal
White-throated Gerygone,67121371,Michael Dahlem
Golden-shouldered Parrot,62324691,James (Jim) Holmes
White-browed Scrubwren,61232971,Greg McLachlan
Orange-footed Megapode,58969901,Gregory Budney
Spiny-cheeked Honeyeater,31672571,Andrew Spencer
Fairy Martin,464634271,James (Jim) Holmes
Dusky Woodswallow,204021141,Nicholas Talbot
Forest Kingfisher,203995151,Nicholas Talbot
Red-rumped Parrot,31676401,Andrew Spencer
White-browed Scrubwren,233657,Tony Baylis
Striated Pardalote,233630,Tony Baylis
White-browed Babbler,226263,Vicki Powys
Little Corella,226216,Vicki Powys
Eastern Rosella,223260,Vicki Powys
Australian Magpie,223244,Vicki Powys
Rufous Whistler,210669,Vicki Powys
Western Spinebill,14935,"Fred W. Loetscher, Jr."
Brown Treecreeper,14788,"Fred W. Loetscher, Jr."
Tasmanian Nativehen,2902,F. N. Robinson
Gilbert's Whistler,262853391,Scott Eaton
Collared Sparrowhawk,196889291,Sara Young
Great Crested Tern,176791771,Eliot Miller
Eastern Whipbird,166189021,Kent Warner
Tawny-crowned Honeyeater,151153591,Greg McLachlan
Dusky Moorhen,132567081,Sara Young
Fan-tailed Cuckoo,112166771,Fred Booker Malcolm
Eastern Spinebill,97435051,Greg McLachlan
Australian Masked-Owl,63892701,Greg McLachlan
Yellow-faced Honeyeater,52104501,Greg McLachlan
Yellow-tailed Black-Cockatoo,31676591,Andrew Spencer
Straw-necked Ibis,88312631,Sara Young
Australian Reed Warbler,226256,Vicki Powys
Nankeen Kestrel,506154111,David Secomb
Australasian Darter,56860561,Greg McLachlan
Painted Honeyeater,203887461,Pieter de Groot Boersma
Tree Martin,183403201,Eliot Miller
Black-chinned Honeyeater,125913,Linda Macaulay
Rufous Whistler,13960,"Fred W. Loetscher, Jr."
Banded Stilt,99434191,Andrew Spencer
