name,audio_id,cc
Ring-necked Pheasant,147769521,Dominic Garcia-Hall
Eurasian Sparrowhawk,252783471,Jonathan Dean
Eurasian Moorhen,92690791,Lees-Moura Autonomous Recorders
Northern Fulmar,203884491,Joe Angseesing
Great Crested Grebe,238059031,A Emmerson
Eurasian Wigeon,192068461,Nicholas Talbot
European Shag,203918501,Josep del Hoyo
Northern Shoveler,565465471,Stuart Fisher
Bank Swallow,243832341,Mark Lewis
Common Pochard,562281381,Stuart Fisher
Bank Swallow,461840481,Mark Lewis
Ring-necked Pheasant,162840,Gregory Budney
Eurasian Hobby,160831641,Stuart Fisher
Eurasian Jackdaw,103199121,Dominic Garcia-Hall
White Wagtail,65628251,Dominic Garcia-Hall
Common Murre,103424,David W. Stemple
Red-crested Pochard,565465671,Gabriel Jamie
Green-winged Teal,243934921,A Emmerson
Spotted Flycatcher,102155281,James Kennerley
Lesser Black-backed Gull,148138631,www.aladdin .st
Lesser Black-backed Gull,167840851,Ramit Singal
Ruddy Turnstone,465740901,David Darrell-Lambert
Great Cormorant,364816441,Ray Scally
Whinchat,231203221,Dan Owen
Herring Gull,155554351,Mark Lewis
European Starling,120633011,Dominic Garcia-Hall
Red-legged Partridge,106620611,Dominic Garcia-Hall
Herring Gull,65422011,Nicholas Allen
European Starling,59417221,Lynden Schofield
Barnacle Goose,463726381,Isaac West
Caspian Tern,349540211,Josh Jones
Common Buzzard,253242131,Huw Lloyd
House Sparrow,235866621,Michał Jezierski
Gray Heron,167840761,Ramit Singal
Northern Fulmar,167774001,Ramit Singal
Common Gull,65510451,Nicholas Allen
Common Tern,57647031,Lynden Schofield
Mute Swan,276756921,Ed Stubbs
Northern Shoveler,610996112,Simon Colenutt
Eurasian Treecreeper,565462981,Stuart Fisher
Red Kite,471158551,Conor MacKenzie
Common Grasshopper Warbler,443007551,Oscar Wainwright
Brambling,388029861,Mark Lewis
